Time	R.Pow	A.Pow	V	I	Pf			
73.276	131.58	1524.75	223.9	6.81	0.09			
76.524	154.97	1288.71	223.06	5.78	0.12			
79.756	-11.72	1197.59	223.05	5.37	-0.01			
82.987	87.68	1105.56	224.27	4.93	0.08			
87.22	2402.21	2497.6	219.21	11.39	0.96			
90.452	2356.63	2408.64	218.2	11.04	0.98			
93.684	2374.12	2429.53	217.85	11.15	0.98			
96.915	2414.81	2467.88	217.51	11.35	0.98			
100.143	2314.41	2348.69	217.7	10.79	0.99			
103.572	2379.4	2424.8	219.43	11.05	0.98			
106.799	2444.01	2467.52	219.76	11.23	0.99			
110.027	2395.18	2421.48	218.88	11.06	0.99			
113.255	2306.21	2343.38	218.26	10.74	0.98			
116.487	2422.27	2434.73	219.73	11.08	0.99			1000
119.714	2380.73	2411.63	218.79	11.02	0.99			
122.943	2387.83	2408.45	219.16	10.99	0.99			
126.17	2299.65	2341.74	218.03	10.74	0.98			
129.398	2356.36	2414.12	218.15	11.07	0.98			
132.626	2360.11	2381.9	219.16	10.87	0.99			
136.255	2405.28	2421.49	219.85	11.01	0.99			
139.504	2432.93	2437.18	220.5	11.05	1			
143.192	-13.1	346.56	223.43	1.55	-0.04			
147.361	15.59	371.39	223.31	1.66	0.04			
150.728	50.73	421.24	223.78	1.88	0.12			
153.955	-6.19	416.99	223.84	1.86	-0.01			
