time	R.Pow	A.Pow	V	I	Pf
110.121	8.86	274.52	221.95	1.24	0.03
113.326	2372.23	2404.77	218.94	10.98	0.99
115.557	72.51	417.79	221.77	1.88	0.17
117.788	11.3	334.33	221.54	1.51	0.03
120.019	-5.78	387.04	222.86	1.74	-0.01
125.289	26.17	418.52	223.38	1.87	0.06
127.52	-38.62	292.87	221.92	1.32	-0.13
129.751	2438.83	2459.15	217.73	11.29	0.99
131.979	2368.1	2397.32	218.3	10.98	0.99
134.207	2339.41	2363.59	219.12	10.79	0.99
139.435	2333.55	2360.38	218.05	10.82	0.99
141.663	2362.35	2397.44	218.08	10.99	0.99
144.53	2339.59	2358.75	219.04	10.77	0.99
146.761	2412.62	2435.18	218.37	11.15	0.99
148.989	2345.24	2380.45	218.57	10.89	0.99
154.217	2371.83	2388.52	218.18	10.95	0.99
156.446	2330.19	2370.1	218.31	10.86	0.98
158.673	-64.56	354.67	222.84	1.59	-0.18
160.94	-8.47	391.86	223.23	1.76	-0.02
163.167	12.19	390.74	224.05	1.74	0.03
169.178	-7.07	360.68	222.72	1.62	-0.02
171.405	-83.88	403.09	222.45	1.81	-0.21
175.432	-1.64	350.58	222.28	1.58	0
177.659	-5.57	377.35	221.84	1.7	-0.01
179.888	48.58	335.9	221.97	1.51	0.14
185.115	36.33	275.03	222.96	1.23	0.13
187.545	2367.48	2388.39	219.44	10.88	0.99
189.773	2343.84	2365.34	220.07	10.75	0.99
192.002	2396.64	2404.16	220.5	10.9	1
194.229	2356.63	2369.52	219.49	10.8	0.99
199.456	2432.18	2427.85	220.29	11.02	1
201.684	2438.37	2438.09	219.7	11.1	1
203.911	-2.72	283.58	222.61	1.27	-0.01
206.139	12.12	298.36	221.94	1.34	0.04
208.366	-65.79	350.79	222.34	1.58	-0.19
213.594	15.37	304.12	221.67	1.37	0.05
215.822	-13.49	365.58	221.3	1.65	-0.04
218.99	19.24	368.25	222.84	1.65	0.05
221.217	-18.03	382.49	223.28	1.71	-0.05
223.468	-15.18	315.12	223.55	1.41	-0.05
228.715	-12.99	302.48	223.16	1.36	-0.04
230.943	-42.89	313.98	223.39	1.41	-0.14
233.171	-53.08	281.5	223.41	1.26	-0.19
235.4	36.5	344.69	224.12	1.54	0.11
237.627	-19.16	342.13	223.28	1.53	-0.06
242.854	-30.43	371.23	223.68	1.66	-0.08
245.083	5.09	356.05	223.24	1.59	0.01
247.31	-5.28	499.17	222.34	2.25	-0.01
